"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SYNE2",1437.1222169601,-0.0644094509544236,0.0942618748725691,-0.683303308378892,0.494415204074139,0.850463720850038
"UQCRC2",2471.79710756199,-0.0624432271800834,0.0914085849418888,-0.683122129281188,0.494529673168596,0.850463720850038
"CNEP1R1",122.382761719547,-0.136733222722691,0.200039958309419,-0.683529550187136,0.494272284219857,0.850463720850038
"MTX2",640.365098817127,0.0768191851547498,0.112449375796746,0.683144611612624,0.494515468044127,0.850463720850038
"NBEAL2",1574.05897195291,0.0927383159744357,0.135720404065086,0.683304154694103,0.494414669404781,0.850463720850038
"DAAM1",1789.47021349044,-0.0709576177938562,0.104007205619584,-0.682237517786894,0.495088774829298,0.850489660956415
"PHLPP2",225.275425554428,-0.109297080211462,0.160134059175694,-0.682534875928829,0.494900797670069,0.850489660956415
"STARD7",1218.11477921973,-0.0819455286436979,0.120115562557613,-0.682222410642196,0.495098325941189,0.850489660956415
"MACROD2",13.9671644372628,0.374705727082061,0.548979750516725,0.682549268400831,0.494891700329738,0.850489660956415
"ANKRD37",45.8862499603827,-0.206882422909667,0.303209916983376,-0.682307574131918,0.495044484755644,0.850489660956415
"NEFL",12.5417916582735,-0.393246427833199,0.575884485499111,-0.682856436898761,0.494697563444752,0.850489660956415
"FBXL6",136.768922388302,0.161919395199765,0.237103537562052,0.682905859881525,0.494666330893196,0.850489660956415
"MLLT3",320.371186851432,-0.0983892018479798,0.144108201950456,-0.682745329664206,0.494767780830178,0.850489660956415
"COPS7A",710.080385024652,0.0821017155177826,0.12048884511632,0.681405116287084,0.495615186407078,0.850829727026901
"ANKRD52",2345.95548534532,0.0623573168488903,0.091502878683814,0.68147929055177,0.495568266400601,0.850829727026901
"TBC1D2B",959.794581338746,0.075708968306364,0.111063755202616,0.681671245207282,0.495446853711217,0.850829727026901
"ZFP62",443.997612998579,-0.0907701171593515,0.133195656671786,-0.681479557422976,0.495568097591632,0.850829727026901
"UXT",440.675706033877,0.0889746883466593,0.130583562754767,0.68136208317238,0.495642408714719,0.850829727026901
"RNASE1",29.1028791690018,-0.261076552746862,0.38335807776517,-0.681025307380603,0.495855477195962,0.850884160785083
